epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6862.43,1.13012,1.20537,1.3874,0.7095,0.60523,0.67647,0.46581,1.19511,1.06486,1.40703,0.005842,0.005842,0.005842
44,7004.48,1.13,1.18703,1.37985,0.70878,0.60772,0.67999,0.46822,1.19409,1.06561,1.40605,0.005743,0.005743,0.005743
45,7154.28,1.12929,1.19373,1.37872,0.70392,0.61203,0.67877,0.4701,1.18829,1.05684,1.40205,0.005644,0.005644,0.005644
46,7306.02,1.11045,1.18664,1.38033,0.71115,0.60445,0.67922,0.46996,1.18524,1.04788,1.40161,0.005545,0.005545,0.005545
47,7453.78,1.11479,1.16849,1.37491,0.7136,0.60846,0.68351,0.47423,1.1833,1.04145,1.39834,0.005446,0.005446,0.005446
48,7600.93,1.12197,1.17165,1.37673,0.7196,0.60817,0.68443,0.47593,1.18033,1.03524,1.39461,0.005347,0.005347,0.005347
49,7747.67,1.11164,1.15501,1.37164,0.71895,0.6071,0.686,0.47682,1.17784,1.03235,1.39145,0.005248,0.005248,0.005248
50,7894.85,1.10834,1.15641,1.36999,0.73445,0.60413,0.6869,0.47732,1.17702,1.03114,1.3916,0.005149,0.005149,0.005149
51,8042.87,1.10131,1.1435,1.36701,0.72993,0.60909,0.68765,0.47752,1.17268,1.02857,1.38664,0.00505,0.00505,0.00505
52,8190.1,1.11576,1.14459,1.36448,0.72858,0.6094,0.68893,0.47988,1.17088,1.02605,1.38407,0.004951,0.004951,0.004951
53,8337.79,1.09794,1.13525,1.36115,0.72038,0.61539,0.6894,0.4797,1.1725,1.02415,1.38519,0.004852,0.004852,0.004852
54,8485.53,1.1014,1.13076,1.36345,0.70749,0.62289,0.69168,0.48248,1.17026,1.0196,1.38291,0.004753,0.004753,0.004753
55,8640.75,1.09254,1.11603,1.35952,0.71858,0.61759,0.69101,0.48287,1.16829,1.01731,1.38084,0.004654,0.004654,0.004654
56,8802.58,1.09321,1.11452,1.35824,0.72442,0.61633,0.69215,0.484,1.16743,1.01506,1.38041,0.004555,0.004555,0.004555
57,8964.36,1.08263,1.10039,1.34877,0.72902,0.61869,0.69295,0.48451,1.16721,1.0127,1.37929,0.004456,0.004456,0.004456
58,9125.01,1.09233,1.09277,1.35213,0.72292,0.6243,0.69418,0.48576,1.16773,1.01101,1.37843,0.004357,0.004357,0.004357
59,9285.83,1.09617,1.10067,1.35596,0.7248,0.62307,0.69446,0.48545,1.169,1.01179,1.37897,0.004258,0.004258,0.004258
60,9446.9,1.08535,1.08987,1.34943,0.72927,0.62258,0.69513,0.48556,1.16745,1.00921,1.37776,0.004159,0.004159,0.004159
61,9607.34,1.08083,1.07985,1.34362,0.73191,0.62001,0.6949,0.48607,1.16674,1.00721,1.37711,0.00406,0.00406,0.00406
62,9768.21,1.08035,1.07519,1.34424,0.72993,0.62162,0.69501,0.48614,1.16605,1.00624,1.37635,0.003961,0.003961,0.003961
63,9928.78,1.08604,1.07326,1.34295,0.73308,0.62021,0.69486,0.48627,1.16484,1.0045,1.37473,0.003862,0.003862,0.003862
64,10089.9,1.07749,1.05881,1.34,0.74235,0.61515,0.69567,0.48689,1.1629,1.00316,1.3727,0.003763,0.003763,0.003763
65,10251.6,1.07218,1.06192,1.33903,0.73811,0.621,0.69707,0.48752,1.16261,1.00057,1.37206,0.003664,0.003664,0.003664
66,10413,1.07813,1.04993,1.3388,0.74454,0.61729,0.69754,0.48828,1.16212,0.9986,1.37155,0.003565,0.003565,0.003565
67,10573.2,1.06569,1.04403,1.33103,0.73203,0.62799,0.69819,0.48894,1.16184,0.99687,1.37104,0.003466,0.003466,0.003466
68,10735.2,1.06291,1.04559,1.33612,0.72582,0.63276,0.69871,0.48909,1.16161,0.99505,1.37046,0.003367,0.003367,0.003367
69,10891.2,1.06341,1.041,1.33113,0.729,0.62963,0.69943,0.4895,1.16152,0.99305,1.36973,0.003268,0.003268,0.003268
70,11041.9,1.07182,1.03692,1.334,0.73823,0.62702,0.70017,0.49007,1.16148,0.99203,1.36922,0.003169,0.003169,0.003169
71,11202.4,1.06559,1.02193,1.32972,0.74289,0.62557,0.7008,0.49065,1.16053,0.99105,1.36802,0.00307,0.00307,0.00307
72,11364.2,1.06275,1.01359,1.32583,0.74628,0.6258,0.70137,0.49127,1.15995,0.98997,1.36719,0.002971,0.002971,0.002971
73,11517.9,1.05171,1.01874,1.3254,0.74108,0.62828,0.70148,0.49184,1.15896,0.98883,1.36594,0.002872,0.002872,0.002872
74,11662.4,1.05306,1.00536,1.32102,0.74624,0.62769,0.70171,0.49219,1.15901,0.98799,1.36591,0.002773,0.002773,0.002773
75,11803.3,1.04531,0.99943,1.32087,0.74916,0.62667,0.70177,0.49218,1.15892,0.9869,1.36552,0.002674,0.002674,0.002674
76,11941.4,1.04607,0.99308,1.3174,0.75114,0.62642,0.70206,0.4924,1.15864,0.98574,1.3651,0.002575,0.002575,0.002575
77,12088.1,1.04749,0.98376,1.316,0.74902,0.62744,0.7018,0.49264,1.15811,0.98528,1.3643,0.002476,0.002476,0.002476
78,12233,1.0434,0.98806,1.31361,0.75179,0.62728,0.70223,0.49302,1.15784,0.98445,1.3642,0.002377,0.002377,0.002377
79,12379.3,1.04157,0.97985,1.31573,0.75149,0.62747,0.70245,0.49284,1.15748,0.98326,1.36359,0.002278,0.002278,0.002278
80,12526,1.04273,0.97452,1.31272,0.752,0.62763,0.70269,0.49304,1.15691,0.98259,1.36251,0.002179,0.002179,0.002179
81,12672.4,1.02515,0.96123,1.30557,0.75694,0.62579,0.70333,0.49329,1.15687,0.98136,1.36272,0.00208,0.00208,0.00208
82,12818.9,1.0317,0.96015,1.31046,0.75335,0.62776,0.70367,0.49344,1.15691,0.9805,1.36252,0.001981,0.001981,0.001981
83,12960.6,1.04257,0.95888,1.30798,0.75049,0.6304,0.70405,0.49382,1.15681,0.98009,1.36221,0.001882,0.001882,0.001882
84,13105,1.01845,0.95316,1.29907,0.74843,0.63102,0.70422,0.49368,1.15654,0.97972,1.3618,0.001783,0.001783,0.001783
85,13250.8,1.02162,0.94181,1.29965,0.74969,0.63147,0.70445,0.49435,1.15616,0.97887,1.36139,0.001684,0.001684,0.001684
86,13397,1.01602,0.9341,1.29511,0.74809,0.63317,0.70458,0.49416,1.15585,0.97855,1.3609,0.001585,0.001585,0.001585
87,13543.8,1.02917,0.93265,1.30048,0.74554,0.63521,0.70481,0.49438,1.15557,0.9782,1.36056,0.001486,0.001486,0.001486
88,13691.9,1.02298,0.93049,1.2944,0.74511,0.63625,0.70501,0.49472,1.15548,0.97751,1.36039,0.001387,0.001387,0.001387
89,13858.4,1.01429,0.92668,1.29491,0.74641,0.63569,0.70507,0.4948,1.15518,0.97674,1.36,0.001288,0.001288,0.001288
90,14027,1.0029,0.90637,1.2912,0.7455,0.6364,0.7053,0.4951,1.15494,0.97596,1.35981,0.001189,0.001189,0.001189
91,14228.3,1.01198,0.8541,1.32596,0.74701,0.63476,0.70533,0.49525,1.15458,0.97528,1.35924,0.00109,0.00109,0.00109
92,14387.7,1.00673,0.82165,1.31542,0.74561,0.63625,0.70562,0.49571,1.15422,0.97422,1.35877,0.000991,0.000991,0.000991
93,14541.4,1.00174,0.81186,1.31207,0.74635,0.63608,0.70563,0.49595,1.15402,0.9733,1.35839,0.000892,0.000892,0.000892
94,14694.8,0.99439,0.80711,1.31036,0.74797,0.63484,0.70583,0.49606,1.15385,0.97279,1.35798,0.000793,0.000793,0.000793
95,14848.4,0.99073,0.80025,1.30512,0.74534,0.63659,0.70621,0.49626,1.15326,0.97195,1.35727,0.000694,0.000694,0.000694
96,15001.2,0.98315,0.79239,1.30275,0.74235,0.63988,0.70635,0.49658,1.1529,0.97071,1.35679,0.000595,0.000595,0.000595
97,15154.8,0.98239,0.78515,1.30063,0.74634,0.63858,0.70661,0.49668,1.15255,0.96982,1.3564,0.000496,0.000496,0.000496
98,15308.9,0.97522,0.77065,1.29556,0.74738,0.63843,0.70661,0.49663,1.15241,0.969,1.35611,0.000397,0.000397,0.000397
99,15461.2,0.97172,0.76629,1.29225,0.7467,0.63933,0.70671,0.49699,1.15213,0.9685,1.35572,0.000298,0.000298,0.000298
100,15613.6,0.96024,0.75329,1.28482,0.74484,0.64064,0.70684,0.49692,1.1518,0.96768,1.35513,0.000199,0.000199,0.000199
